02:18:11.524 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.IllegalArgumentException
02:18:11.528 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.joda.time.Partial.<init>(Partial:224)
02:18:11.528 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.joda.time.Partial
02:18:11.529 [main] INFO  eu.stamp.botsing.Botsing - Guided_MOSA
02:18:13.878 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
02:18:26.242 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
02:18:26.251 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - test generation strategy: MOSuite
02:18:26.333 [main] INFO  e.s.b.c.t.strategy.MOSuiteStrategy - The number of goals are 1: 
02:18:26.333 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Generating solution in MOSA
02:18:31.196 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:32.264 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.6
02:18:32.264 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #1 is created.
02:18:32.265 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:33.152 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:33.152 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #2 is created.
02:18:33.152 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:33.715 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:33.715 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #3 is created.
02:18:33.715 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:34.278 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:34.278 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #4 is created.
02:18:34.278 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:34.870 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:34.870 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #5 is created.
02:18:34.870 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:35.486 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:35.486 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #6 is created.
02:18:35.486 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:36.023 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:36.023 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #7 is created.
02:18:36.023 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:36.507 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:36.507 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #8 is created.
02:18:36.507 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:36.906 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:36.906 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #9 is created.
02:18:36.906 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:37.525 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:37.526 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #10 is created.
02:18:37.526 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:38.086 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:38.086 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #11 is created.
02:18:38.086 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - Number of covered goals are 0/1
02:18:38.724 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - eu.stamp.botsing.fitnessfunction.IntegrationTestingFF@5396eed0: 1.0
02:18:38.725 [main] INFO  e.s.b.commons.ga.strategy.mosa.MOSA - generation #12 is created.
