1,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
1,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",0/14,"[0/14,1]"
3,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
3,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,2,"[2.5,1][0.0,2]",0/14,"[0/14,1]"
2,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",0/14,"[0/14,1]"
2,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
4,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
5,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
4,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,3,"[1.5,1][0.0,3]",0/14,"[0/14,1]"
1,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,13,"[4.5,1][3.0,6][2.0,7][0.0,13]",0/17,"[0/17,1]"
5,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
1,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,20,"[4.5,1][3.0,3][2.0,4][0.0,20]",7/34,"[0/34,1][5/34,4][6/34,5][7/34,12]"
6,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
8,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,3,"[1.5,1][0.0,3]",0/14,"[0/14,1]"
2,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,15,"[4.5,1][2.0,3][0.0,15]",7/34,"[0/34,1][4/34,4][5/34,6][6/34,7][7/34,11]"
4,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,7,"[4.5,1][2.0,3][0.0,7]",0/17,"[0/17,1]"
6,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,4,"[1.5,1][0.0,4]",0/14,"[0/14,1]"
7,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
6,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,13,"[4.5,1][2.0,2][0.0,13]",0/17,"[0/17,1]"
7,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,3,"[1.5,1][0.0,3]",0/14,"[0/14,1]"
8,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
2,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,26,"[4.5,1][2.0,4][0.0,26]",0/17,"[0/17,1]"
6,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,9,"[2.0,1][0.0,9]",5/34,"[0/34,1][3/34,2][4/34,5][5/34,6]"
7,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,8,"[1.9583333333333335,1][0.0,8]",0/17,"[0/17,1]"
9,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,4,"[1.5,1][0.0,4]",0/14,"[0/14,1]"
9,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
10,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
5,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,14,"[4.5,1][3.0,4][2.0,7][0.0,14]",0/17,"[0/17,1]"
10,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",0/14,"[0/14,1]"
3,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,59,"[4.5,1][2.0,6][0.0,59]",7/34,"[0/34,1][3/34,7][4/34,8][6/34,10][7/34,11]"
5,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,32,"[4.5,1][2.0,3][0.0,32]",8/34,"[0/34,1][3/34,4][4/34,5][5/34,6][6/34,7][7/34,8][8/34,22]"
9,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,7,"[4.5,1][0.0,7]",0/17,"[0/17,1]"
5,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,0.0,5,"[4.75,1][1.3333333333333333,2][0.0,5]",4/34,"[0/34,1][2/34,3][4/34,4]"
3,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,57,"[2.0,1][0.0,57]",0/17,"[0/17,1]"
4,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,40,"[4.5,1][2.0,3][0.0,40]",7/34,"[0/34,1][3/34,3][5/34,4][7/34,7]"
8,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,15,"[4.5,1][2.0,3][0.0,15]",0/17,"[0/17,1]"
8,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,16,"[4.5,1][2.0,3][0.0,16]",7/34,"[0/34,1][4/34,4][5/34,6][6/34,8][7/34,15]"
7,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,22,"[4.5,1][2.0,2][0.0,22]",7/34,"[0/34,1][2/34,3][6/34,4][7/34,8]"
10,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,3,62328,0.0,61,"[4.5,1][2.0,7][0.0,61]",0/17,"[0/17,1]"
9,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,76,"[4.5,1][3.0,10][2.0,12][0.0,76]",9/34,"[0/34,1][5/34,11][6/34,15][7/34,20][9/34,57]"
1,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
1,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
10,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,4,62328,0.0,90,"[4.5,1][2.0,5][0.0,90]",7/34,"[0/34,1][4/34,6][5/34,7][7/34,11]"
3,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
2,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
2,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
3,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
4,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
4,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
5,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
5,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
3,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,9,62328,9.8,2107,"[9.8,1]",0/17,"[0/17,1]"
6,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",0/1,"[0/1,1]"
6,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
4,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,5,62328,-1,0,,,
2,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6163,"[4.75,1][4.666666666666666,4][2.0,5][1.3333333333333333,9]",10/34,"[0/34,1][4/34,5][5/34,6][6/34,10][7/34,16][9/34,562][10/34,569]"
1,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6440,"[4.75,1][4.0,7][1.3333333333333333,9]",10/34,"[0/34,1][4/34,8][5/34,10][6/34,11][7/34,15][10/34,239]"
3,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6385,"[4.0,1][1.3333333333333333,2]",10/34,"[0/34,1][4/34,2][5/34,3][6/34,5][7/34,10][9/34,500][10/34,546]"
6,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,5977,"[4.75,1][4.0,3][1.3333333333333333,4]",10/34,"[0/34,1][5/34,4][6/34,5][7/34,39][10/34,244]"
4,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6414,"[4.75,1][1.3333333333333333,3]",10/34,"[0/34,1][3/34,4][6/34,5][7/34,16][10/34,495]"
7,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6435,"[4.0,1][1.3333333333333333,9]",10/34,"[0/34,1][5/34,2][6/34,11][7/34,19][8/34,536][10/34,621]"
8,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,5997,"[4.75,1][4.0,3][1.3333333333333333,10]",10/34,"[0/34,1][4/34,4][5/34,5][6/34,14][7/34,15][10/34,1937]"
9,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6078,"[4.75,1][4.0,2][1.3333333333333333,3]",10/34,"[0/34,1][4/34,3][5/34,4][6/34,5][7/34,22][9/34,1127][10/34,1294]"
7,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,1,62328,0.0,1,"[0.0,1]",,
7,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
1,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,3,62328,3.0,13889,"[3.0,1]",0/1,"[0/1,1]"
10,xwiki,XWIKI-13942,8.4,java.lang.IllegalArgumentException,5,62328,1.3333333333333333,6498,"[4.75,1][2.6,3][1.6,7][1.3333333333333333,10]",10/34,"[0/34,1][3/34,4][6/34,6][7/34,35][10/34,2503]"
2,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,3,62328,2.9523809523809526,2415,"[3.0,1][2.9523809523809526,2395]",0/1,"[0/1,1]"
3,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,3,62328,2.9523809523809526,3901,"[3.0,1][2.9523809523809526,3884]",0/1,"[0/1,1]"
4,xwiki,XWIKI-12667,7.2,java.lang.IllegalArgumentException,3,62328,2.9523809523809526,8734,"[3.0,1][2.9523809523809526,8719]",0/1,"[0/1,1]"
