execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir
1,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
2,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
3,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
4,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
5,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
6,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
7,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
8,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
9,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
10,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
1,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
2,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
3,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
4,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
5,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
6,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
7,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
8,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
9,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
10,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-9b
1,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
2,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
3,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
4,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
5,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
6,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
7,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
8,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
9,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/MATH-100b
